BMS-2 Temperature (Celcius),BMS-2 SoC (%),BMS-1 Temperature (Celcius),BMS-1 SoC (%),Trip B (Km),Trip A (Km),Battery Efficiency (Km/kWh),Range Approximation (Km),Battery Voltage (mVolt),Signal Quality (%),Odometer2 (m),Odometer (Km),Vehicle Speed (Km/hr),GPS Heading (Degree),GPS VDOP,GPS HDOP,GPS Altitude (m),GPS Latitude,GPS Longitude,BMS-2 Current (Ampere),BMS-2 Voltage (Volt),BMS-1 Current (Ampere),BMS-1 Voltage (Volt),Events Group,Driver ID,RTC Log Datetime,RTC Send Datetime,Sequential ID,Frame ID (Type),Size (Bytes),CRC
0.00,0,0.00,0,0,0,146,110,3.978,51,19.431,5.129,0,0,2,1,2.7,-7.4341256,112.6937472,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:19","Tue, 13 Oct 2020, 14:53:20",20.309,2 (Full),92,2E201F2B
0.00,0,0.00,0,0,0,141,115,3.978,51,19.431,5.129,0,0,2,1,2.6,-7.434136,112.69376,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:14","Tue, 13 Oct 2020, 14:53:15",20.308,2 (Full),92,DB0A579D
0.00,0,0.00,0,0,0,136,120,3.978,54,19.431,5.129,16,300,2,1,2.3,-7.4341544,112.6938496,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:09","Tue, 13 Oct 2020, 14:53:11",20.307,2 (Full),92,CEECF119
0.00,0,0.00,0,0,0,131,125,3.978,54,19.431,5.129,21,314,2,1,2.2,-7.434244,112.693952,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:53:04","Tue, 13 Oct 2020, 14:53:05",20.306,2 (Full),92,29B37C03
0.00,0,0.00,0,0,0,126,130,3.996,61,19.398,5.129,26,324,1,1,2.4,-7.4344848,112.6941696,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:59","Tue, 13 Oct 2020, 14:52:59",20.305,2 (Full),92,B7C6CA04
0.00,0,0.00,0,0,0,121,135,3.942,61,19.354,5.129,32,326,1,1,2.4,-7.4348448,112.6944,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:54","Tue, 13 Oct 2020, 14:52:55",20.304,2 (Full),92,4F8B00CF
0.00,0,0.00,0,0,0,116,140,3.978,61,19.327,5.129,36,328,1,1,2.6,-7.4350568,112.694528,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:49","Tue, 13 Oct 2020, 14:52:50",20.303,2 (Full),92,5F5518BD
0.00,0,0.00,0,0,0,111,145,3.978,77,19.266,5.129,40,334,1,1,2.6,-7.4355664,112.6947968,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:44","Tue, 13 Oct 2020, 14:52:44",20.302,2 (Full),92,EB284B31
0.00,0,0.00,0,0,0,106,150,3.978,80,19.200,5.128,41,340,1,1,2.4,-7.4361352,112.6950016,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:39","Tue, 13 Oct 2020, 14:52:40",20.301,2 (Full),92,B73C8FB1
0.00,0,0.00,0,0,0,101,155,3.978,80,19.166,5.128,39,342,1,1,2.2,-7.4364288,112.695104,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:34","Tue, 13 Oct 2020, 14:52:35",20.300,2 (Full),92,7784DC76
0.00,0,0.00,0,0,0,96,160,3.978,70,19.103,5.128,34,346,1,1,1.9,-7.4369968,112.695232,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:29","Tue, 13 Oct 2020, 14:52:30",20.299,2 (Full),92,86E9B211
0.00,0,0.00,0,0,0,91,165,3.978,77,19.049,5.128,27,346,1,1,1.5,-7.4374736,112.6953088,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:24","Tue, 13 Oct 2020, 14:52:25",20.298,2 (Full),92,77C42FE9
0.00,0,0.00,0,0,0,86,170,3.960,83,19.026,5.128,21,352,1,1,1.2,-7.4376704,112.6953472,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:19","Tue, 13 Oct 2020, 14:52:21",20.297,2 (Full),92,A4A72064
0.00,0,0.00,0,0,0,81,175,3.978,100,19.009,5.128,12,82,1,1,0.6,-7.4378344,112.6952832,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:14","Tue, 13 Oct 2020, 14:52:18",20.296,2 (Full),92,472D87B0
0.00,0,0.00,0,0,0,76,180,3.978,93,19.009,5.128,17,42,1,1,0.4,-7.4378784,112.6950016,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:09","Tue, 13 Oct 2020, 14:52:15",20.295,2 (Full),92,2840FDF5
0.00,0,0.00,0,0,0,71,185,3.942,93,19.009,5.128,11,56,2,1,0.1,-7.4379688,112.6948992,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:52:04","Tue, 13 Oct 2020, 14:52:12",20.294,2 (Full),92,D4904343
0.00,0,0.00,0,0,0,66,190,3.978,93,19.009,5.128,15,76,1,1,0.1,-7.438012,112.6947072,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:59","Tue, 13 Oct 2020, 14:52:00",20.293,2 (Full),92,C56801AD
0.00,0,0.00,0,0,0,61,195,3.942,93,19.009,5.128,18,80,1,1,0,-7.43804,112.6944384,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:54","Tue, 13 Oct 2020, 14:51:54",20.292,2 (Full),92,E047732A
0.00,0,0.00,0,0,0,56,200,3.978,90,18.994,5.128,21,76,1,1,0,-7.4380552,112.6942848,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:49","Tue, 13 Oct 2020, 14:51:50",20.291,2 (Full),92,0813A1E4
0.00,0,0.00,0,0,0,51,205,3.978,93,18.955,5.128,25,78,2,1,0,-7.43812,112.693888,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:44","Tue, 13 Oct 2020, 14:51:44",20.290,2 (Full),92,733B598D
0.00,0,0.00,0,0,0,46,210,3.978,90,18.915,5.128,20,80,2,1,0.1,-7.4381552,112.693504,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:39","Tue, 13 Oct 2020, 14:51:39",20.289,2 (Full),92,7208DA89
0.00,0,0.00,0,0,0,41,215,3.942,80,18.899,5.128,15,80,1,1,0,-7.4381688,112.6933632,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:34","Tue, 13 Oct 2020, 14:51:34",20.288,2 (Full),92,8B8D2C0C
0.00,0,0.00,0,0,0,36,220,3.978,80,18.899,5.128,21,86,2,1,0,-7.4381704,112.6930688,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:29","Tue, 13 Oct 2020, 14:51:30",20.287,2 (Full),92,BB7892E9
0.00,0,0.00,0,0,0,31,225,3.978,80,18.882,5.128,18,92,1,1,0,-7.4381592,112.692736,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:24","Tue, 13 Oct 2020, 14:51:24",20.286,2 (Full),92,AA01F43A
0.00,0,0.00,0,0,0,26,230,3.978,80,18.867,5.128,29,96,2,1,0,-7.43814,112.6925568,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:19","Tue, 13 Oct 2020, 14:51:20",20.285,2 (Full),92,D3B72FC1
0.00,0,0.00,0,0,0,21,235,3.978,74,18.817,5.128,29,102,1,1,0,-7.43806,112.6920576,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:14","Tue, 13 Oct 2020, 14:51:15",20.284,2 (Full),92,3B95DAFE
0.00,0,0.00,0,0,0,16,240,3.978,77,18.770,5.128,24,100,1,1,0,-7.4379336,112.691584,0.00,0.00,0.00,0.00,0000000000000000,NONE,"Tue, 13 Oct 2020, 14:51:09","Tue, 13 Oct 2020, 14:51:09",20.283,2 (Full),92,3685DA8C
